id,CPU clock(MHZ),CPU usage(%),vedio memory(MB),GPU usage(%),memory(MB),FPS,Type
1,1409,37,809,6,1312,10,0
2,1107,40,812,5,1305,2,0
3,1510,25,881,14,1160,5,0
4,1738,29,851,14,1160,9,0
5,1734,25,899,17,1124,5,0
6,1023,18,832,16,1134,5,0
7,1740,18,844,16,1250,6,0
8,1243,25,909,9,1158,7,0
9,1294,33,788,9,1190,5,0
10,1655,20,807,7,1286,6,0
11,1683,32,803,15,1194,8,0
12,1046,29,844,18,1173,7,0
13,1688,25,910,18,1212,9,0
14,1383,29,824,11,1210,9,0
15,1648,17,782,12,1228,6,0
16,1225,21,788,9,1100,3,0
17,1708,30,885,17,1245,9,0
18,1753,29,841,15,1193,4,0
19,1536,27,902,14,1184,4,0
20,1268,23,794,12,1221,8,0
21,1387,26,790,14,1124,9,0
22,1377,30,898,11,1222,9,0
23,1311,21,858,7,1178,10,0
24,1623,24,807,14,1264,3,0
25,1439,28,850,18,1119,10,0
26,1123,29,905,5,1281,4,0
27,1744,28,895,6,1246,4,0
28,1450,27,890,19,1216,8,0
29,1287,30,906,17,1158,5,0
30,1696,25,874,19,1157,9,0
31,1070,24,804,11,1274,6,0
32,1503,31,857,12,1239,7,0
33,1626,18,912,12,1139,8,0
34,1611,33,802,18,1209,3,0
35,1259,18,908,18,1109,9,0
36,1734,29,837,14,1168,10,0
37,1165,17,782,9,1260,9,0
38,1254,21,845,18,1251,3,0
39,1471,21,870,12,1133,9,0
40,1268,26,819,15,1193,6,0
41,1115,26,902,19,1148,9,0
42,1326,26,799,5,1215,4,0
43,1445,24,788,14,1258,3,0
44,1213,23,846,8,1269,9,0
45,1016,25,787,11,1212,8,0
46,1275,17,881,10,1138,3,0
47,1640,20,809,10,1248,5,0
48,1488,18,877,17,1170,9,0
49,1281,19,819,5,1202,3,0
50,1042,30,886,18,1132,4,0
51,1679,29,870,9,1279,4,0
52,1092,31,889,10,1245,7,0
53,1668,18,883,13,1218,5,0
54,1133,17,912,6,1279,3,0
55,1528,17,859,10,1192,10,0
56,1480,25,817,11,1250,7,0
57,1703,21,870,13,1242,7,0
58,1095,24,828,9,1140,7,0
59,1105,33,786,5,1280,9,0
60,1760,22,886,10,1256,10,0
61,1106,30,891,17,1190,4,0
62,1294,24,856,7,1125,4,0
63,1497,17,806,11,1179,10,0
64,1726,28,832,16,1233,4,0
65,1659,33,780,17,1123,3,0
66,1153,22,787,17,1220,10,0
67,1740,29,866,8,1229,6,0
68,1245,22,883,16,1254,10,0
69,1682,17,810,16,1146,7,0
70,1439,24,849,10,1130,6,0
71,1564,23,857,12,1173,6,0
72,1190,24,907,9,1211,10,0
73,1417,25,798,16,1121,10,0
74,1746,25,838,11,1229,6,0
75,1736,22,798,11,1280,4,0
76,1774,24,835,7,1111,9,0
77,1640,32,826,12,1169,4,0
78,1632,25,834,10,1115,10,0
79,1699,17,839,7,1240,8,0
80,1659,20,881,18,1289,4,0
81,1022,17,871,17,1200,8,0
82,1135,19,889,14,1210,3,0
83,1049,19,890,7,1185,6,0
84,1398,33,883,17,1233,9,0
85,1165,27,782,12,1207,10,0
86,1177,25,841,9,1161,3,0
87,1279,17,899,17,1253,3,0
88,1256,25,910,8,1288,5,0
89,1320,31,808,13,1250,6,0
90,1721,29,840,8,1285,5,0
91,1632,33,800,12,1212,5,0
92,1567,32,907,5,1260,4,0
93,1142,21,834,15,1169,4,0
94,1624,20,899,8,1112,7,0
95,1613,26,816,11,1200,10,0
96,1063,28,786,12,1234,7,0
97,1641,29,859,13,1143,6,0
